Results,,,,,,,
filename,n_rows,n_unique_nct_id,row_per_study,n_cols,,check,colnames
baseline_counts.txt,223690,74953,2.98,7,,,id; nct_id; result_group_id; ctgov_group_code; units; scope; count
baseline_measurements.txt,2711119,74822,36.23,22,,,id; nct_id; result_group_id; ctgov_group_code; classification; category; title; description; units; param_type; param_value; param_value_num; dispersion_type; dispersion_value; dispersion_value_num; dispersion_lower_limit; dispersion_upper_limit; explanation_of_na; number_analyzed; number_analyzed_units; population_description; calculate_percentage
documents.txt,10611,2720,3.90,6,,v,id; nct_id; document_id; document_type; url; comment
drop_withdrawals.txt,561989,45113,12.46,10,,v,id; nct_id; result_group_id; ctgov_group_code; period; reason; count; drop_withdraw_comment; reason_comment; count_units
milestones.txt,830865,74953,11.09,10,,,id; nct_id; result_group_id; ctgov_group_code; title; period; description; count; milestone_description; count_units
outcome_analyses.txt,306510,25244,12.14,25,,v,id; nct_id; outcome_id; non_inferiority_type; non_inferiority_description; param_type; param_value; dispersion_type; dispersion_value; p_value_modifier; p_value; ci_n_sides; ci_percent; ci_lower_limit; ci_upper_limit; ci_upper_limit_na_comment; p_value_description; method; method_description; estimate_description; groups_description; other_analysis_description; ci_upper_limit_raw; ci_lower_limit_raw; p_value_raw
outcome_analysis_groups.txt,593422,25244,23.51,5,,v,id; nct_id; outcome_analysis_id; result_group_id; ctgov_group_code
outcome_counts.txt,1490606,74953,19.89,8,,v,id; nct_id; outcome_id; result_group_id; ctgov_group_code; scope; units; count
outcome_measurements.txt,4602607,72706,63.30,21,,?,id; nct_id; outcome_id; result_group_id; ctgov_group_code; classification; category; title; description; units; param_type; param_value; param_value_num; dispersion_type; dispersion_value; dispersion_value_num; dispersion_lower_limit; dispersion_upper_limit; explanation_of_na; dispersion_upper_limit_raw; dispersion_lower_limit_raw
outcomes.txt,618730,74953,8.25,13,,v,id; nct_id; outcome_type; title; description; time_frame; population; anticipated_posting_date; anticipated_posting_month_year; units; units_analyzed; dispersion_type; param_type
participant_flows.txt,74953,74953,1.00,5,,v,id; nct_id; recruitment_details; pre_assignment_details; units_analyzed
pending_results.txt,31590,8908,3.55,5,,v,id; nct_id; event; event_date_description; event_date
provided_documents.txt,73140,48039,1.52,8,,v,id; nct_id; document_type; has_protocol; has_icf; has_sap; document_date; url
reported_event_totals.txt,560829,74749,7.50,9,safety,,id; nct_id; ctgov_group_code; event_type; classification; subjects_affected; subjects_at_risk; created_at; updated_at
reported_events.txt,11048706,55333,199.68,17,safety,,id; nct_id; result_group_id; ctgov_group_code; time_frame; event_type; default_vocab; default_assessment; subjects_affected; subjects_at_risk; description; event_count; organ_system; adverse_event_term; frequency_threshold; vocab; assessment
result_agreements.txt,74953,74953,1.00,7,,v,id; nct_id; pi_employee; agreement; restriction_type; other_details; restrictive_agreement
result_contacts.txt,74953,74953,1.00,7,,v,id; nct_id; organization; name; phone; email; extension
result_groups.txt,2057115,74953,27.45,7,,,id; nct_id; ctgov_group_code; result_type; title; description; outcome_id
retractions.txt,333,304,1.10,5,,v,id; reference_id; pmid; source; nct_id
,,,,,,,
