nct_id,brief_title,why_stopped,brief_summary,detailed_description
NCT04566133,Combination of Trametinib (MEK Inhibitor) and Hydroxychloroquine (HCQ) (Autophagy Inhibitor) in Patients With KRAS Mutation Refractory Bile Tract Carcinoma (BTC).,Slow accrual,"Background:~Bile duct cancer is cancer of the slender tubes of the biliary tract. These tubes carry bile through the liver. Such cancer tumors often have an abnormal or mutated gene. Researchers think a mix of drugs can slow the progression of gene-mutated cancers of the biliary tract.~Objective:~To see if using a combination of trametinib and hydroxychloroquine (HCQ) increases the period of time it takes for a person s bile tract carcinoma (BTC) to get worse.~Eligibility:~Adults age 18 and older with BTC.~Design:~Participants will be screened with a physical exam, medical history, and cancer history. Their ability to do their normal activities will be assessed. They will have blood and urine tests. They will give a tumor sample. They will have heart tests. They may talk with a heart doctor. They may have an eye exam. They may have a tuberculosis test. They will have computer tomography (CT) scans of the chest, abdomen, and pelvis. They may have magnetic resonance imaging (MRI) scans of the chest, abdomen, pelvis.~Participants will repeat some screening tests throughout the study.~Participants will take HCQ and trametinib tablets by mouth daily in 28-day cycles. They will have study visits once a month. They will take the drugs until they have bad side effects or the drugs stop working.~Participants will have one more tumor biopsy during the treatment. They will have blood taken often.~One month after treatment ends, participants will have a safety follow-up visit. Then they will be called or emailed every 6 months for the rest of their life....","Background:~* Among the new cases of bile tract carcinoma (BTC) that are diagnosed every year in the United States, there are approximately 6,500 cases of gallbladder carcinoma, 3,000 cases of extrahepatic cholangiocarcinoma, and 3,000 cases of intrahepatic cholangiocarcinoma.~* Current treatment options for patients with cholangiocarcinoma are limited and take no account of the known biological and genetic heterogeneity in these diseases. Median survival for advanced disease remains poor at approximately 1 year.~* Activating kirsten rat sarcoma (KRAS) mutations are frequently detected in all subtypes of BTC and can be found in up to 40% of BTC, predominantly in perihilar and distal cholangiocarcinoma (CCA). However, pharmacological inhibition of mutated KRAS has demonstrated little clinical benefit in general.~* Trametinib is a reversible, highly selective allosteric inhibitor of mitogen-activated extracellular signal regulated kinases methyl ethyl ketone 1 (MEK1) and methyl ethyl ketone 2 (MEK2). Tumor cells with KRAS mutations commonly have hyperactivated extracellular signal-related kinase (ERK) pathways in which activated MEK is a critical component. However, tumors are able to overcome MEK signaling inhibition by trametinib through upregulation of autophagy pathway.~* Hydroxychloroquine (HCQ) inhibits lysosomal acidification and prevents the degradation of autophagosomes, to suppress autophagy.~* Trametinib has been approved by FDA for the treatment of melanoma as a single agent or for the treatment of other cancers if tumors carry BRAF mutation. Hydroxychloroquine is approved for the treatment of malaria, lupus erythematosus and acute or chronic rheumatoid arthritis.~* Preclinical studies have shown that combined treatment of trametinib plus HCQ elicited striking tumor regression in animal model.~Objective:~-To determine whether the 5-month progression free survival (PFS) of the trametinib plus hydroxychloroquine (HCQ) combination in subjects with refractory bile tract carcinoma (BTC) with KRAS mutation exceeds 25%.~Eligibility:~* Histopathological confirmation of BTC or carcinoma highly suggestive of a diagnosis of BTC.~* Tumor must have KRAS mutation.~* Patients must have disease that is not amenable to potentially curative resection, transplantation or ablation.~* Age greater than or equal to 18 years~* Patients must have measurable lesion by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1.~* At least two weeks washout period from previous therapy~* Eastern Cooperative Oncology Group (ECOG) less than or equal to 2~* Adequate renal, hepatic and bone marrow function~Design:~-The study is open-labeled phase 2 study. It is designed to enroll total 30 patients with refractory BTC, to test the hypothesis that treatment with a combination of HCQ and trametinib prevents cancer progression/recurrence. We propose that this combination will have relative safety profile and antitumor efficacy in BTC patients with KRAS mutation."
NCT02815488,"A Study to Investigate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Single and Repeat Doses of CHF6297 in Healthy Subjects and Patients With COPD",Very poor recruitment in the Part 4 of the study,"CHF6297 is a potent and selective inhibitor of human MAP kinase p38 being developed as an anti-inflammatory agent for the treatment of inflammatory airways diseases. The purpose of this study is to evaluate the safety, tolerability, pharmacokinetics and pharmacodynamics of single and repeat doses of CHF6297 as dry powder formulation in healthy subjects and in COPD patients. This study is the first administration in humans.~The study will comprise four parts:~Part 1 will consist of two cohorts of healthy male subjects to assess the safety, tolerability and pharmacokinetics of Single Ascending Dose (SAD) of CHF6297.~Part 2 will consist of four cohorts of healthy male subjects to assess the safety, tolerability and pharmacokinetics of Multiple Ascending Dose (MAD) of CHF6297.~Part 3 will consist of one cohort of COPD patients to assess the safety, tolerability, pharmacokinetics and pharmacodynamics of a repeat dose of CHF6297~Part 4 will consist of one cohort of healthy subjects to assess the anti-inflammatory effect of a repeat dose of CHF6297 after LPS challenge.",
NCT02721888,Effect of Liraglutide on Fatty Liver Content and Lipoprotein Metabolism,Failure of inclusion,"Non-alcoholic fatty liver disease (NAFLD) is commonly associated with obesity, metabolic syndrome and type 2 diabetes. NAFLD, in patients with type 2 diabetes, has been shown to be associated with lipid abnormalities (such as hypertriglyceridemia and decreased HDL-cholesterol) and increased cardiovascular risk. Such lipid abnormalities (hypertriglyceridemia and decreased HDL-cholesterol) are very frequent in patients with type 2 diabetes. Moreover, NAFLD is a risk for further development of cirrhosis (estimated between 3 and 5%).~Animal studies have shown that liraglutide is able to decrease liver fat content, but the effect of liraglutide on liver fat content in patients with diabetes remains unknown.~In addition, human studies with liraglutide have shown significant modification of plasma lipids, such as reduction of plasma triglycerides and LDL-cholesterol. However, the mechanisms responsible for these liraglutide induced lipid modifications are not yet known.~Because increased in liver fat content and hypertriglyceridemia are associated in patients with type 2 diabetes, it seems interesting to study the effect of liraglutide on both liver fat content and lipid metabolism using gold-standard methods (proton-spectroscopy for liver fat content assessment and kinetic study with stable isotope to study lipoprotein metabolism).~This is a monocentric study. Fatty liver content will be performed by proton-spectroscopy in patients with type 2 diabetes (n=120) before and after a 6 month period of liraglutide therapy (1.2 mg/day).~Moreover, an in vivo kinetic study will be performed with stable isotopes (13C leucine) in 10 patients among the 120 patients with type 2 diabetes (n=10) before and after a 6-month period of liraglutide (1.2 mg/day) therapy. Each kinetic study will be performed during a 2-day hospitalization~For the main study, 3 visits will be performed:~* a first visit at T0, before starting the treatment with liraglutide, including clinical and biological measurements and liver fat content assessment by proton-spectroscopy~* a visit at 3 months including clinical and biological measurements~* and a visit at 6 months including clinical and biological measurements and liver fat content assessment by proton-spectroscopy~For the kinetic substudy, performed in 10 patients, a kinetic study with stable isotope will been performs during a 48h-hospitalization before starting the treatment with liraglutide and after 6 month-treatment with liraglutide",
NCT01760304,Changes in Cardiac Function in COPD Patients After Administration of Budesonide/Formoterol (Symbicort®) Versus Placebo,Sponsor decided to stop the study due to expiration of blinded placebo .,To investigate whether Budesonide/Formoterol (Symbicort ®) therapy can improve heart function at rest by decreasing lung hyperinflation in patients with COPD (Chronic Obstructive Pulmonary Disease).,"Patients with moderate to advanced COPD are known to have static hyperinflation (at rest) as a consequence of expiratory flow limitation. Hyperinflation is easily detected by measuring lung volumes during standard pulmonary function testing.~Decreased Inspiratory Capacity (IC) secondary to hyperinflation has been described as a predictor of mortality in COPD, and as a limiting factor for the maximal tidal volume attained during exercise. Hyperinflation has been linked to a low cardiac output in part by limiting left ventricular ejection fraction during exercise.~Treatment with inhaled anticholinergic agents or long-acting beta agonists (LABA) and combination of the LABA formoterol and budesonide has been shown to improve IC and decrease lung hyperinflation. Bronchodilators have been shown to improve exercise endurance in COPD when combined with pulmonary rehabilitation, however the exact mechanism: improvement of lung mechanics and /or improvement in cardiac function is not well known.~Impedance cardiography (ICG) has emerged as a method to measure cardiac output without the need for invasive devices. Cardiac output measurement by impedance cardiography (CO-ICG) is a valid and reproducible method. It has been shown to have good correlation with thermodilution and the direct Fick method for the measurement of stroke volume and cardiac output.~In addition, the oxygen pulse, easily obtained by dividing the measured oxygen uptake by the heart rate (VO2/HR) provides an adequate reflection of cardiac stroke volume when the systemic extraction of oxygen is stable.~This method has been used to evaluate the effect of static and dynamic hyperinflation on cardiac function.~This pilot study is designed to be a single center (Brigham and Women's Hospital), randomized, placebo-controlled, double blind, crossover study of 14 patients (male and female 40 to 80 years old) with COPD and static hyperinflation.~The primary endpoint is the measurement of stroke volume, cardiac output and oxygen pulse at rest before and after the administration of budesonide/formoterol compared to placebo."
NCT00799942,Open-lable Extension Study on Safety and Efficacy of Neramexane to Treat Congenital and Acquired Nystagmus,,"The purpose of this study is to investigate the long-term safety, tolerability and efficacy of neramexane mesylate in the treatment of congenital idiopathic nystagmus (CIN). In addition, a subgroup of multiple sclerosis (MS) patients suffering from acquired nystagmus will be included.",
NCT02555085,Single Ascending Doses of BIIB063 in Healthy Volunteers,Clinical study terminated due to preclinical safety findings in non-human primates.,The primary objective of the study is to evaluate the safety and tolerability of single ascending intravenous (IV) doses and a single subcutaneous (SC) dose of BIIB063 in healthy volunteers. The secondary objectives of the study are to estimate the PK parameters of single ascending IV doses of BIIB063; to estimate the PK parameters and absolute bioavailability (F) of a single SC dose of BIIB063; and to evaluate the immunogenicity of single ascending doses of BIIB063.,
NCT02658916,Extension Study of BIIB092 in Participants With Progressive Supranuclear Palsy (PSP) Who Participated in CN002003,251PP301(NCT03068468) primary endpoint was not met;further development of Gosuranemab BIIB092 in progressive supranuclear palsy will not be pursued.,"The purpose of this study is to evaluate the long-term safety and tolerability of multiple intravenous (IV) infusions of BIIB092 in participants with Progressive Supranuclear Palsy (PSP). The study will also assess the pharmacodynamic (PD) effects of BIIB092 on cerebrospinal fluid (CSF) N-terminal tau, pharmacokinetics (PK), and immunogenicity of BIIB092 in participants with PSP.","This study, previously posted by Bristol-Myers Squibb, has transitioned to Biogen under a licensing agreement."
NCT03299881,Safety and Effectiveness of Transcutaneous Electrical Nerve Stimulation (TENS)-Assisted Weight Loss,Early termination due to technical problems with the device.,"This study is a randomized, adaptive, parallel arm study. The treatment group will receive the Elira wearable patch system and provided instructions for use and advised to follow a 1200 calorie diet. The control group will be asked to follow a 12 calorie diet only. Each group will be followed for 12 weeks. Total body weight loss will be measured as well as appetite changes. Safety data will be collected throughout the study period. Safety and effectiveness will be determined based on differences between the groups.","This study employs a randomized, adaptive, parallel arm study in which, cohorts of enrolled subjects (25 per arm) are assessed for dose response and progression to achievement of primary and secondary endpoints. Enrollment will be up to 300 subjects at 4 US centers.~After signing informed consent, subjects will be screened during a one week screening/baseline period to determine if they meet the inclusion criteria and exhibit none of the exclusion criteria. Weight, blood pressure, blood lipids, HgA1c, pregnancy test (for women of childbearing age), and patient questionnaires will be collected. If eligible, subjects will be randomized to treatment or control groups. The treatment group will receive training on the Elira Wearable Patch System and the first TENS session will be administered in the investigators office. Both groups will receive an electronic scale and instructions on 1200 calorie diet as well as diary completion requirements to be completed throughout the study. All subjects will be required to have in office follow-up visits every 4 weeks for 12 weeks. Up to 2 additional follow-up visits will be permitted within that 12 week time period."
NCT00552578,Buprenorphine as a Treatment in Opiate Dependent Pain Patients,Tapering doses protocol arm was not effective for treatment retention outcome.,"This study is designed to determine if different doses of buprenorphine (either tapering doses or steady doses) are effective in managing chronic, non-cancer pain in individuals who also are addicted to opiate pain medicines.","Context: Some individuals have two conditions: 1) a well-documented pain disorder and 2) clear evidence of a substance use disorder with opiate dependency. It is not known how to manage these patients. In addition to other modalities for the treatment of chronic pain, combination tablets of buprenorphine/naloxone (Suboxone) may be helpful.~Objective: The objective of this study is to determine if the addition of pharmacotherapy with Suboxone to usual care would improve clinical outcome relative to usual care alone.~Design: Randomized control trial.~Setting: The study will be conducted in the out-patient clinics of a tertiary-care teaching hospital.~Participants: The participants will be those who have: 1) a well-documented pain disorder and 2) clear evidence of a substance use disorder with opiate dependency.~Baseline data collected: Data collected at baseline will include (with examples): demographics (age, gender, race), substance use history (type of substances used, duration of use, routes of abuse), type of pain disorder (previous traumatic injury, musculoskeletal, neuropathic), co-existing medical problems (seizures, hepatitis C), prior injuries (accidents, interpersonal violence), prior mental health problems (prior treatment, diagnoses), prior substance abuse treatment (outpatient, inpatient), socioeconomic variables (educational level, occupation, employment history), criminal history (number of arrests and convictions, total amount of time spent in jail or prison), family history (first degree relatives with substance use disorders) and scores on psychometric testing (ASI).~Outcome data: Three main outcome variables will be examined relapse to substance use (as documented by toxicology), quality of life, and successful participation in the pain management program for six months, which included the completion of the study buprenorphine treatment protocols.~Data analyses: Outcome variables will be compared between the two groups using t-tests or chi-square tests as appropriate. A Kaplan-Myer survival analysis will be used to describe participant participation. Predictors of poor outcomes will be identified using a case-control design in which those with poor outcomes (the cases) will be compared to those with successful outcomes (the controls) using multivariate techniques (logistic regression)."
NCT00724685,Interest of Continuous Ropivacaine Administration Through an Elastomeric Pump (Pain Buster) for the Surgery of Latissimus Dorsi and Serratus Micro Anastomotic Flaps,,"Continuous bupivacaine administration through an elastomeric pump (Pain Buster) has been found effective for post operative analgesia in a large range of surgery. Ropivacaine is a less toxic drug, never tested in the surgery of latissimus dorsi and serratus micro anastomotic flaps (from the investigators knowledge). The aim of the study is to evaluate the usefulness of this drug and device for post operative analgesia, associated with patient controlled analgesia with morphine. For this purpose a controlled randomized double blind trial against placebo (saline) is performed, enrolling 40 (20x2) patients during 3 years, in order to measure total morphine consumption during the first 48 post operative hours and to evaluate analgesia and sides effects of morphine in each group.",
NCT00359294,A Phase I Study of Zalypsis (PM00104) in Subjects With Advanced Malignant Solid Tumors or Lymphoma,Low recruitment,"Phase I trial, dose escalating, prospective, open-label, non-randomized, multicenter study. The purpose is to determine the safety, tolerability, dose limiting toxicity (DLT) and recommended dose (RD) of PM00104, administered intravenously over 1 hour daily for 5 days every 3 weeks (this is considered as 1 cycle) to subjects with advanced malignant solid tumors or lymphoma.","Phase I trial, dose escalating, prospective, open-label, non-randomized, multicenter study. The purpose is to determine the safety, tolerability, dose limiting toxicity (DLT) and recommended dose (RD) of PM00104, administered intravenously over 1 hour daily for 5 days every 3 weeks (this is considered as 1 cycle) to subjects with advanced malignant solid tumors or lymphoma. Secondary objectives are to determine the preliminary pharmacokinetics of PM00104, to evaluate the relationship between pharmacokinetics/pharmacodynamics and to evaluate the preliminary antitumor activity of PM00104. Dose-escalation guidelines will follow an accelerated phase I design for conventional cytotoxic agents in order to minimize the number of subjects treated at the subtoxic dose levels. The trial will be conducted in compliance with the protocol, Good clinical practice (GCP) and applicable regulatory requirements."
NCT02015637,Comparison of Delafloxacin Versus Ceftriaxone for the Treatment of Uncomplicated Gonorrhea,,"The purpose of this study is to evaluate the effects of a single oral dose of delafloxacin versus a single intramuscular injection of ceftriaxone in subjects with uncomplicated cervical, urethral, rectal, or pharyngeal gonorrhea.",
NCT00155883,Bi-Weekly Docetaxel Plus 24-Hour Infusion of High-Dose 5-Fluorouracil / Leucovorin (HDFL) for Inoperable Advanced or Metastatic Gastric Cancer,slow a accrul due to many competitive trials.,The primary objective is to determine the tumor response rate of bi-weekly docetaxel plus 24-hour infusion of high-dose 5-FU/leucovorin chemotherapy for patients with inoperable advanced gastric cancer.,"Gastric cancer is one of the leading causes of cancer death in Taiwan. We have previously demonstrated that weekly 24-hour infusion of high-dose 5-fluorouracil (5-FU) and leucovorin is an effective and well-tolerated regimen for patients with advanced gastric cancer. Our in vitro and clinical studies suggested that long (24 hours or more) infusion of 5-FU/leucovorin may, compared with the conventional bolus regimens, enhance its anti-tumor activity in gastric cancer by prolonging suppression of thymidylate synthase, the target enzyme of 5-FU cytotoxicity. Docetaxel, a mitotic inhibitor, has good single-agent activity against gastric cancer, with a tumor response rate around 20 to 24%. Preliminary clinical data indicate that a biweekly administration of docetaxel will reduce the incidence of neutropenia and asthenia, two most bothersome side effects of tri-weekly and weekly docetaxel, respectively, while maintaining its anti-tumor activity. This phase II trial is designed to test the efficacy and toxicity of biweekly docetaxel and 24-hour infusion of high-dose 5-FU/leucovorin as first-line therapy for patients with inoperable advanced gastric cancer."
