nct_id,brief_title,why_stopped,termination_category,brief_summary,detailed_description,phase,medical_field,medical_subfield,field_source
NCT00642135,CLAIR -FO: Clinical Trial of Ophthalmic Insert Mydriasert® Versus Reference Treatment,The total number of patients has been reached.,Other/Unclear,"Pupillary dilation to perform a fundus in premature newborns and neonates is often difficult to obtain, because of the non mature iris sphincter. The fundus is essential to detect retinal anomalies (as retinopathy of prematurity or chorioretinal or disk anomalies). The aim of the study is to obtain a satisfactory degree of mydriasis with a minimal dose of two mydriatic treatments, with an optimal duration and a good tolerance of the drugs. The study will evaluate the mydriasis in premature newborns, neonates and infants justifying a mydriasis for a bilateral diagnosis fundus, using ophthalmic insert Mydriasert® versus reference treatment (association of phenylephrine and tropicamide eyedrops). Ophthalmic insert Mydriasert® can control drug dispensation and decrease the number of nurse interventions to obtain mydriasis in patients.","The aim of the study is to obtain a satisfactory degree of mydriasis with a minimal dose of two mydriatic treatments, with an optimal duration and a good tolerance of the drugs. The study will evaluate the mydriasis in premature newborns, neonates and infants justifying a mydriasis for a bilateral diagnosis fundus, using ophthalmic insert Mydriasert® versus reference treatment (association of phenylephrine and tropicamide eyedrops). Ophthalmic insert Mydriasert® can control drug dispensation and decrease the number of nurse interventions to obtain mydriasis in patients.",PHASE3,Ophthalmology,Ophthalmology disorder,MeSH
NCT00800007,Study of Safety and Tolerability of Multiple Intravenous Doses of ANZ-521 in Adults With Chronic Hepatitis C Virus,,Unknown,"The purpose of this study is to evaluate the safety, immunogenicity, and antiviral effects of multiple intravenous doses of ANZ-521 in patients with chronic Hepatitis C virus.","This Phase 1/2 Randomized, Placebo Controlled, Double-Blind clinical trial will evaluate the safety, tolerability, and pharmacodynamics of ANZ-521, an investigational product that is a weakened form (attenuated) of Listeria monocytogenes, a type of bacteria that is commonly found in the environment. ANZ-521 has been altered in the lab to reduce its ability to cause disease, while maintaining stimulation of the immune system. ANZ-521 has also been genetically modified with recombinant DNA to encode consensus sequence antigens called NS5B polymerase and NS3 proteinase that correspond to viral proteins found on the virus causing Hepatitis C. It is hoped that ANZ-521 will stimulate an immune response to the Hepatitis C virus (HCV) in the liver, thereby demonstrating an effective therapy for individuals with chronic HCV infection.~The purpose of this first clinical trial with ANZ-521 is to identify an appropriate dose of the investigational agent for later clinical studies and to explore safety when given to consenting adults with HCV. Immunological response to ANZ-521 in study participants will also be measured. Patients who choose to enter the study must meet all study entry criteria. The first part of the study (Part A) will enroll subjects who have received prior treatment with standard of care therapy for HCV. The second part of the study (Part B) will enroll subjects who have not previously received standard of care therapy for HCV or were intolerant to standard of care. Qualifying study patients will be assigned to receive one of at least 2 dose levels of ANZ-521 or placebo. Each patient may receive up to 3 intravenous administrations (28 days apart) of ANZ-521 or placebo at their assigned dose level.",PHASE1/PHASE2,Infectious Diseases,Infectious Diseases disorder,MeSH
NCT00217074,Acupuncture and Hot Flashes,,Unknown,"Methods: 103 participants, after being randomized to medical versus sham acupuncture received bi-weekly treatments for 5 weeks, after a baseline assessment week. They were then followed for an additional 7 weeks. Participants completed daily hot flash questionnaires, which formed the basis for analysis.",,PHASE3,Unknown,,Unable to classify
NCT03368859,"A Study of ABT-165 Plus FOLFIRI vs Bevacizumab Plus FOLFIRI in Subjects With Metastatic Colorectal Cancer Previously Treated With Fluoropyrimidine, Oxaliplatin and Bevacizumab",Study may continue,Other/Unclear,A study to evaluate the efficacy and tolerability of ABT-165 plus FOLFIRI compared to bevacizumab plus FOLFIRI in participants with previously treated metastatic adenocarcinoma of the colon or rectum.,,PHASE2,Gastroenterology,Gastroenterology disorder,MeSH
NCT00067041,Effects of Remodulin in Patients With Critical Limb Ischemia Following a Vein Bypass Graft,,Unknown,Approximately 30 patients will be enrolled in this 12-week study designed to assess the effect of continuous subcutaneous Remodulin therapy on the outcome of infrainguinal bypass grafts in patients with critical limb ischemia (CLI). Portions of the study will be conducted in the hospital and on an out-patient basis. The study will be conducted at multiple centers.,,PHASE2/PHASE3,Cardiology,Cardiac disorder,MeSH
NCT02661022,SL-401 in Combination With Pomalidomide and Dexamethasone in Relapsed or Relapsed and Refractory Multiple Myeloma,,Unknown,"A Phase 1/2, Open Label Study of SL-401 in Combination with Pomalidomide and Dexamethasone In Relapsed and Refractory Multiple Myeloma","This study is a phase 1/2 multicenter, open-label study of SL-401 (tagraxofusp-erzs) in combination with standard doses of pomalidomide and dexamethasone in patients with relapsed and refractory multiple myeloma (MM). The study will be conducted in 2 phases: Phase 1 is the dose-escalation phase to determine the maximum tested dose (MTD) of SL-401 in combination with standard doses of pomalidomide and dexamethasone. In Phase 1, each evaluated SL-401 dose level will incorporate an initial Run-in Cycle (i.e. cycle 1) of single agent SL-401 in at least 3 patients; following the Run-in Cycle, patients who have not experienced a dose-limiting toxicity (DLT) will receive combination SL-401/pomalidomide and dexamethasone in cycles 2 and beyond. All patients in Phase 2 will receive 1 cycle of SL-401 monotherapy in cycle 1, followed by combination of SL-401/pomalidomide/dexamethasone in cycle 2 and beyond. The dose of SL-401 will be the MTD of SL-401 or MTD given in combination with pomalidomide/dexamethasone determined during Phase 1.",PHASE1/PHASE2,Oncology,Other cancer,MeSH
NCT00493857,Study of Nimotuzumab and Irinotecan in Metastatic Colorectal Cancer,Cohort 2 not going forward. Manadate changes in Company,Other/Unclear,"This study will determine if nimotuzumab provides a benefit in this type of cancer when given in combination with irinotecan.~The study will test:~* How long any good effects last.~* How bad any side effects are.~Objectives:~Primary:~The primary goal is to assess the Objective Response Rate (ORR) that the combination of irinotecan and nimotuzumab will produce in patients with irinotecan-refractory metastatic colorectal cancer~Secondary:~* To assess the incidence of Grade 2 or greater acneiform rash or infusion reaction, allergic reaction or anaphylactoid reaction AEs in patients with irinotecan-refractory metastatic colorectal cancer following weekly or 2-weekly nimotuzumab schedules;~* To assess Progression-Free Survival (PFS), defined as time from date of randomization until date of disease progression (clinical or radiological) or death due to any cause, for the two nimotuzumab schedules;~* To assess the rates and durations of Stable Disease (SD) following weekly or 2-weekly nimotuzumab schedules;~* To assess the Time to Disease Progression (TTP) following weekly or 2-weekly nimotuzumab schedules;~* To evaluate ORR in patients who are identified as having primary irinotecan resistance following weekly or 2-weekly nimotuzumab schedules;~* To evaluate Overall Survival (OS) following weekly or 2-weekly nimotuzumab schedules;~* To compare the two dosing schedules of nimotuzumab with respect to objective response rates and safety;~* To evaluate the overall safety and toxicity profiles of these two dose regimens of nimotuzumab;~* To evaluate trough levels and accumulation of nimotuzumab in serum of patients receiving the drug on weekly or 2-weekly regimens.","The patient will receive nimotuzumab every 2 weeks plus irinotecan. Nimotuzumab will be given at a dose of 400 mg once every 2 weeks for 12 weeks. Irinotecan will be given at the same dose and schedule as the last dose and schedule given during the most recent pre-study irinotecan containing therapy. If the tumour does not show signs of further growth after 12 weeks of treatment, the patient will continue receiving nimotuzumab 400 mg every 2 weeks for up to 18 months or as long as they are getting a benefit from the drug.",PHASE2,Gastroenterology,Gastroenterology disorder,MeSH
NCT01313663,A Study to Evaluate Pazopanib in Comparison to Pemetrexed in Maintenance Setting in Non-progressing Subjects With Metastatic Stage IVA and IVB Non-squamous Non-small Cell Lung Cancer (NSCLC) Population,,Unknown,"This is a Phase II, randomized, open-label, multi-center study in advanced (Stage IVA and IVB subjects per the International Association for the Study of Lung Cancer (IASLC) 2009 Lung cancer staging schema) non-squamous NSCLC subjects comparing pazopanib relative to pemetrexed in the maintenance setting. Subjects should have completed 4-6 cycles of induction therapy with carboplatin + pemetrexed or cisplatin + pemetrexed and have had Stable Disease (SD), Partial Response (PR) or Complete Response (CR) as the best response to be enrolled into the study. The primary objective is to estimate the hazard ratio of progression free survival (PFS) in advanced NSCLC subjects given maintenance therapy of pazopanib (Arm A) relative to pemetrexed (Arm B). The secondary objectives are: overall survival, response rates, safety and tolerability. A total of approximately 200 subjects will be enrolled and randomized in a 1:1 ratio. Safety and efficacy assessments will be regularly performed on all subjects.",,PHASE2,Pulmonology,Pulmonology disorder,MeSH
NCT03904108,Platinum-Based Chemotherapy Plus Ramucirumab in Patients With Advanced NSCLC Who Have Progressed on First Line Anti-PD-1 Immunotherapy,insufficient patient population to complete trial as planned,Other/Unclear,"This is a non-randomized, phase-II study of platinum doublet chemotherapy plus ramucirumab in patients with advanced NSCLC who have progressed on first line anti-PD-1 Immunotherapy. Up to 25 evaluable participants will be enrolled over a period of 2 years. Seven patients will be recruited at the first stage .Eligible patients would include those treated with a PD-1 inhibitor as primary therapy and exhibit evidence of disease progression, but maintain a good performance status.~The investigators hypothesize that immune therapy acts as chemo-sensitizer and patients treated with standard platinum-based combination chemotherapy with the addition of the anti-angiogenic agent Ramucirumab, after immunotherapy will have higher response rates","OBJECTIVES:~Primary Objective~1. To assess the objective response rate to a three-drug regimen (a platinum doublet plus an anti-angiogenic agent) in patients with non-small cell lung cancer who fail to respond, or progress after an initial response, to primary therapy with an immune checkpoint inhibitor.~2. To assess the toxicity profile of the three-drug regimen in this population compared to historical treatment-naïve population (as published in literature)~Exploratory Objective~1. To investigate the role of peripheral blood CD 8+ T cells, absolute eosinophil count (AEC) and circulating tumor cells (CTC) as biomarkers of response to salvage chemotherapy after primary immunotherapy~2. To investigate the role of plasma carbonic anhydrase IX level as predictive biomarker of response to ramucirumab.",PHASE2,Pulmonology,Pulmonology disorder,MeSH
NCT00144105,A Randomised Trial to Evaluate the Antiviral Efficacy and Safety of Treatment With 500 mg Tipranavir (TPV) Plus 100 mg or 200 mg Ritonavir (RTV) p.o. BID in Comparison to 400 mg Lopinavir (LPV) Plus 100 mg RTV p.o. BID in Combination With Standard Background Regimen in ARV Therapy naïve Patients.,,Unknown,Evaluation of safety and efficacy of Tipranavir (TPV) boosted with Ritonavir (RTV) versus an active control arm (Lopinavir / RTV) in antiretroviral (ARV) therapy naïve HIV-1 infected patients,,PHASE2,Infectious Diseases,Infectious Diseases disorder,MeSH
